Comune,Pop_Comune_2030_Conservativo,Quota Popolazione 2030 Conservativo,EV Stimati (2030 - Conservativo),Domanda Mensile (kWh) - Conservativo,Domanda Annua (kWh) - Conservativo,Domanda Giornaliera (kWh) - Conservativo,Colonnine Necessarie - Conservativo,Comune_nome_match,n_esagoni,EV Stimati (2030 - Conservativo) per esagono,Domanda Giornaliera (kWh) - Conservativo per esagono,Domanda Mensile (kWh) - Conservativo per esagono,Domanda Annua (kWh) - Conservativo per esagono,Colonnine Necessarie - Conservativo per esagono
nuvolento,3909,0.0030935104339698,123.74041735879575,22273.27512458324,267279.30149499886,732.2720588904078,1.318391744277781,nuvolento,7,17.677202479827965,104.61029412720112,3181.8964463690345,38182.75735642841,0.18834167775396873
verolavecchia,3833,0.0030333654370444,121.33461748177646,21840.23114671976,262082.77376063715,718.0349966044854,1.2927591598405563,verolavecchia,28,4.333379195777731,25.644107021588763,780.0082552399915,9360.099062879899,0.04616996999430558
bienno,3790,0.0029993360308892,119.97344123556816,21595.21942240227,259142.63306882727,709.979816626924,1.278256513382653,bienno,70,1.7139063033652595,10.142568808956058,308.5031346057467,3702.037615268961,0.0182608073340379
bagolino,3786,0.0029961705047352,119.84682018940926,21572.427634093667,258869.131609124,709.2304975592439,1.27690742999122,bagolino,126,0.9511652395984862,5.6288134726924115,171.2097431277275,2054.51691753273,0.01013418595231127
lograto,3782,0.0029930049785812,119.72019914325034,21549.635845785066,258595.6301494208,708.4811784915637,1.275558346599787,lograto,26,4.604623043971167,27.249276095829373,828.8321479148102,9945.985774977722,0.04905993640768412
urago d'oglio,3774,0.0029866739262733,119.46695705093254,21504.052269167856,258048.62723001427,706.9825403562035,1.2728601798169217,urago d'oglio,18,6.637053169496252,39.27680779756686,1194.6695705093252,14336.034846111905,0.07071445443427343
pompiano,3730,0.0029518531385796,118.07412554318452,21253.34259777321,255040.1111732785,698.740030611722,1.2580202625111596,pompiano,25,4.722965021727381,27.94960122446888,850.1337039109285,10201.60444693114,0.050320810500446386
calvagese della riviera,3689,0.0029194064955013,116.77625982005566,21019.726767610016,252236.7212113202,691.0595101680005,1.2441921577489723,calvagese della riviera,19,6.146118937897666,36.371553166736874,1106.3014088215798,13275.616905858958,0.0654837977762617
paderno franciacorta,3658,0.0028948736678081,115.7949467123241,20843.09040821834,250117.0848986201,685.2522873934797,1.233736761465368,paderno franciacorta,5,23.15898934246482,137.05045747869593,4168.618081643668,50023.41697972402,0.2467473522930736
pozzolengo,3602,0.0028505563016524,114.02225206609936,20524.005371897885,246288.0644627746,674.7618204459578,1.2148495939853077,pozzolengo,36,3.167284779613871,18.743383901276605,570.1112603304969,6841.335123965961,0.03374582205514744
