Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico,Comune_nome_match,n_esagoni,EV Stimati (2030 - Ottimistico) per esagono,Domanda Giornaliera (kWh) - Ottimistico per esagono,Domanda Mensile (kWh) - Ottimistico per esagono,Domanda Annua (kWh) - Ottimistico per esagono,Colonnine Necessarie - Ottimistico per esagono
quinzano d'oglio,6304,0.0049397188184167,296.3831291050051,53348.96323890091,640187.558866811,1753.9385174433178,3.157812773673169,quinzano d'oglio,42,7.056741169166788,41.760440891507564,1270.2134104500217,15242.560925400261,0.07518601842078973
rudiano,6006,0.0047062105367085,282.37263220251594,50827.07379645287,609924.8855574344,1671.0270837189985,3.008537994714634,rudiano,16,17.648289512657247,104.4391927324374,3176.692112278304,38120.30534733965,0.1880336246696646
villanuova sul clisi,5905,0.0046270684680759,277.6241080845582,49972.33945522048,599668.0734626458,1642.926228664783,2.9579448649333857,villanuova sul clisi,12,23.13534234037985,136.91051905539857,4164.361621268373,49972.33945522048,0.24649540541111548
dello,5703,0.0044687843308107,268.1270598486428,48262.8707727557,579154.4492730683,1586.7245185563515,2.856758605370888,dello,37,7.246677293206561,42.88444644746896,1304.401912777181,15652.822953326171,0.07720969203705104
trenzano,5562,0.0043582988686602,261.49793211961264,47069.62778153028,564835.5333783634,1547.4946119955162,2.786128592507958,trenzano,22,11.886269641800574,70.34066418161437,2139.5285355241035,25674.342426289244,0.12664220875036172
borgo san giacomo,5501,0.0043105001935454,258.6300116127273,46553.40209029091,558640.8250834909,1530.5228084479204,2.755572345808392,borgo san giacomo,43,6.014651432854123,35.593553684835356,1082.6372579137421,12991.647094964905,0.06408307780949749
manerba del garda,5467,0.0042838583090552,257.03149854331576,46265.66973779684,555188.0368535621,1521.0631146672931,2.738540995188961,manerba del garda,47,5.468755288155655,32.36304499292113,984.3759518680179,11812.511422416215,0.05826682968487151
poncarale,5262,0.0041232234172761,247.39340503656987,44530.81290658258,534369.7548789909,1464.0267256958657,2.635851969395338,poncarale,17,14.552553237445286,86.11921915858034,2619.4595827401517,31433.51499288182,0.15505011584678458
montirone,5140,0.0040276260670466,241.6575640227992,43498.36152410386,521980.3382892463,1430.0831186006749,2.574739475996207,montirone,10,24.165756402279918,143.0083118600675,4349.836152410386,52198.03382892463,0.2574739475996207
esine,5130,0.0040197902186671,241.1874131200311,43413.7343616056,520964.8123392671,1427.3008557240196,2.569730255225786,esine,53,4.550705907925115,26.9302048249815,819.1270634265207,9829.524761118248,0.04848547651369408
gottolengo,5050,0.0039571034316314,237.42620589788635,42736.71706161954,512840.60473943455,1405.0427527107795,2.529656489062421,gottolengo,44,5.396050134042872,31.932789834335896,971.2890241277169,11655.468289532604,0.05749219293323684
paratico,5034,0.0039445660742242,236.6739644534574,42601.31360162233,511215.763219468,1400.5911321081314,2.521641735829748,paratico,4,59.16849111336435,350.14778302703286,10650.328400405582,127803.940804867,0.630410433957437
roccafranca,4938,0.0038693419297813,232.1605157868837,41788.89284163907,501466.7140996688,1373.8814084922435,2.47355321643371,roccafranca,27,8.598537621736433,50.88449661082383,1547.7367719125582,18572.841262950697,0.09161308209013741
cellatica,4932,0.0038646404207537,231.8784252452229,41738.116544140124,500857.3985296815,1372.2120507662507,2.470547683971458,cellatica,8,28.984803155652862,171.52650634578134,5217.264568017516,62607.17481621019,0.30881846049643225
padenghe sul garda,4911,0.0038481851391568,230.8911083494099,41560.399502893786,498724.7940347254,1366.369298725275,2.460028320353574,padenghe sul garda,30,7.696370278313664,45.5456432908425,1385.3466500964596,16624.159801157515,0.0820009440117858
piancogno,4854,0.0038035208033938,228.21124820363173,41078.02467665372,492936.2961198446,1350.5104003283411,2.4314757619621767,piancogno,14,16.300803443116553,96.4650285948815,2934.14461976098,35209.735437131756,0.17367684014015547
pian camuno,4842,0.0037941177853385,227.64706712031008,40976.47208165581,491717.6649798697,1347.1716848763554,2.425464697037672,pian camuno,15,15.176471141354005,89.8114456584237,2731.764805443721,32781.17766532464,0.1616976464691781
nuvolera,4791,0.0037541549586032,225.2492975161928,40544.8735529147,486538.4826349764,1332.982144205415,2.3999176711085264,nuvolera,17,13.249958677423106,78.4107143650244,2384.992561936159,28619.910743233904,0.14117162771226627
capriano del colle,4784,0.0037486698647375,224.92019188425516,40485.63453916593,485827.6144699911,1331.0345601917566,2.3964112165692324,capriano del colle,23,9.77913877757631,57.871067834424196,1760.244979963736,21122.93975956483,0.10419179202474924
san zeno naviglio,4744,0.0037173264712197,223.03958827318277,40147.125889172894,481765.5106700747,1319.9055086851365,2.37637433348755,san zeno naviglio,1,223.03958827318277,1319.9055086851365,40147.125889172894,481765.5106700747,2.37637433348755
breno,4713,0.0036930353412433,221.58212047460168,39884.7816854283,478617.3802251396,1311.2804937675055,2.3608457490992456,breno,89,2.4896867469056367,14.733488694016916,448.1436144430146,5377.723373316176,0.0265263567314522
monticelli brusati,4667,0.0036569904386978,219.41942632186849,39495.49673793632,473945.9608552359,1298.4820845348927,2.3378033335553106,monticelli brusati,7,31.345632331695498,185.4974406478418,5642.213819705189,67706.56583646228,0.33397190479361577
gambara,4607,0.0036099753484209,216.5985209052599,38987.73376294678,467852.80515536136,1281.7885072749627,2.307748008932787,gambara,59,3.6711613712755917,21.725228936863775,660.8090468296065,7929.708561955277,0.0391143730327591
collebeato,4521,0.0035425870523575,212.5552231414543,38259.940165461776,459119.2819855413,1257.8610465357297,2.264668710307169,collebeato,8,26.569402892681786,157.2326308169662,4782.492520682722,57389.91024819266,0.2830835887883961
san paolo,4495,0.0035222138465709,211.3328307942573,38039.90954296631,456478.9145155957,1250.6271630564263,2.251644736304076,san paolo,19,11.122780568118804,65.8224822661277,2002.1005022613845,24025.206027136617,0.11850761770021453
edolo,4457,0.0034924376227289,209.5462573637385,37718.32632547293,452619.9159056752,1240.0545641251374,2.232609697376477,edolo,113,1.8543916580861814,10.973934195797677,333.79049845551265,4005.485981466152,0.01975760794138475
