Comune,Pop_tot,Quota Popolazione,EV Stimati (Attuali),Domanda Mensile (kWh) - Attuali,Domanda Annua (kWh) - Attuali,Domanda Giornaliera (kWh) - Attuali,Colonnine Necessarie - Attuali
Ono San Pietro,966,0.0007682971639813382,7.682971639813382,1382.9348951664088,16595.218741996905,45.46635271779974,0.08185818827554069
Provaglio Val Sabbia,872,0.0006935353281487856,6.935353281487856,1248.3635906678142,14980.36308801377,41.04209065209252,0.07389269169386282
Cevo,816,0.0006489963621208819,6.489963621208819,1168.1934518175874,14018.321421811048,38.406360059756295,0.06914728947499088
Saviore dell'Adamello,795,0.0006322942498604181,6.322942498604181,1138.1296497487526,13657.55579698503,37.41796108763022,0.06736776364291391
Mura,777,0.0006179781536371634,6.1797815363716335,1112.360676546894,13348.328118562727,36.570761968665,0.06584245578684794
Brione,749,0.0005957086706232115,5.957086706232115,1072.2756071217807,12867.307285461367,35.252896672496895,0.06346975467741198
Braone,690,0.0005487836885580987,5.487836885580987,987.8106394045776,11853.727672854931,32.47596622699981,0.05847013448252906
Cerveno,659,0.0005241281895069377,5.241281895069377,943.4307411124878,11321.168893349854,31.01690107767083,0.0558432153970821
Marmentino,657,0.0005225375121487983,5.225375121487983,940.567521867837,11286.810262414043,30.922767842230254,0.0556737367464081
Losine,625,0.0004970866744185676,4.970866744185677,894.7560139534218,10737.072167441062,29.41663607518099,0.05296207833562415
Vione,623,0.0004954959970604282,4.954959970604282,891.8927947087708,10702.713536505249,29.32250283974041,0.05279259968495015
Paspardo,579,0.0004605010951813611,4.605010951813611,828.9019713264499,9946.8236559174,27.25157166004767,0.04906406937012222
Pertica Bassa,555,0.0004414129668836881,4.414129668836881,794.5433403906386,9534.520084687663,26.121972834760722,0.04703032556203425
Pertica Alta,555,0.0004414129668836881,4.414129668836881,794.5433403906386,9534.520084687663,26.121972834760722,0.04703032556203425
Longhena,549,0.00043664093480926984,4.366409348092699,785.9536826566857,9431.44419188023,25.839573128438985,0.04652188961001226
Cimbergo,533,0.0004239155159441545,4.239155159441545,763.047928699478,9156.575144393737,25.086507244914348,0.045166060404620276
Monno,512,0.0004072134036836906,4.072134036836906,732.9841266306431,8795.809519567718,24.098108272788267,0.0433865345725433
Treviso Bresciano,511,0.0004064180650046209,4.064180650046209,731.5525170083176,8778.630204099813,24.05104165506798,0.04330179524720631
Lavenone,486,0.0003865345980278782,3.865345980278782,695.7622764501808,8349.14731740217,22.874376212060742,0.041183312113781345
Anfo,447,0.00035551638954415957,3.555163895441596,639.9295011794873,7679.154014153847,21.038778120969443,0.03787847842563839
Lozio,352,0.00027995921503253733,2.799592150325373,503.9265870585672,6047.119044702806,16.567449437541935,0.029828242518623524
Incudine,343,0.0002728011669209099,2.728011669209099,491.04210045763784,5892.505205491654,16.143849878059328,0.029065588590590535
Capovalle,338,0.0002688244735255614,2.688244735255614,483.8840523460105,5806.608628152126,15.90851678945788,0.02864189196390554
Paisco Loveno,172,0.00013679825279998983,1.3679825279998983,246.2368550399817,2954.84226047978,8.095458247889809,0.014575163957963768
Valvestino,167,0.00013282155940464127,1.3282155940464127,239.07880692835428,2868.9456831402513,7.860125159288359,0.014151467331278771
Irma,132,0.00010498470563720149,1.0498470563720148,188.97247014696268,2267.669641763552,6.212793539078225,0.011185590944483821
Magasa,106,8.430589998138907e-05,0.8430589998138907,151.75061996650032,1821.0074395980039,4.9890614783506955,0.008982368485721856
